# SK R3600 PMT quantum efficiency (representative values)
# Column 1: wavelength (nm)
# Column 2: QE (percent)
# Source: Super-Kamiokande R3600 20-inch PMT spectral response
# Note: This is a representative sample for development. Replace with
# official measured data for production physics results.
294,3.0
300,5.0
310,8.5
320,12.0
330,15.5
340,18.0
350,19.5
360,20.5
370,21.0
380,21.2
390,21.0
400,20.5
410,19.8
420,18.8
430,17.5
440,16.0
450,14.5
460,13.0
470,11.5
480,10.0
490,8.8
500,7.5
510,6.5
520,5.5
530,4.7
540,4.0
550,3.4
560,2.9
570,2.4
580,2.0
590,1.6
600,1.3
610,1.0
620,0.8
630,0.6
640,0.4
648,0.3
