# Second self-contained analytic supernova flux (sntools `gamma` format) — a
# hotter, more luminous burst than analytic_burst_gamma.txt, so the two behave
# as distinct "models" for validating the model x ordering nesting offline.
# Columns as in analytic_burst_gamma.txt.
0.000, 11.0, 163.0, 1.5e52, 12.0, 194.0, 1.5e52, 15.0, 304.0, 1.5e52
0.050, 13.5, 246.0, 8.0e52, 13.0, 228.0, 6.0e52, 16.0, 346.0, 5.0e52
0.100, 12.5, 211.0, 7.0e52, 13.5, 246.0, 6.5e52, 16.5, 368.0, 5.5e52
0.200, 12.0, 194.0, 6.2e52, 14.5, 284.0, 6.8e52, 17.0, 391.0, 5.5e52
0.300, 11.8, 188.0, 5.8e52, 15.0, 304.0, 6.5e52, 17.0, 391.0, 5.2e52
0.500, 11.5, 179.0, 5.2e52, 15.5, 324.0, 6.0e52, 17.0, 391.0, 4.8e52
0.800, 11.2, 170.0, 4.4e52, 15.5, 324.0, 5.3e52, 16.5, 368.0, 4.2e52
1.000, 11.0, 163.0, 4.0e52, 15.2, 312.0, 4.9e52, 16.5, 368.0, 3.9e52
1.500, 10.7, 155.0, 3.4e52, 15.0, 304.0, 4.2e52, 16.0, 346.0, 3.3e52
2.000, 10.4, 146.0, 2.9e52, 14.5, 284.0, 3.6e52, 15.5, 324.0, 2.9e52
3.000, 10.0, 135.0, 2.2e52, 14.0, 265.0, 2.8e52, 15.0, 304.0, 2.3e52
4.000,  9.6, 124.0, 1.8e52, 13.5, 246.0, 2.2e52, 14.5, 284.0, 1.9e52
5.000,  9.3, 117.0, 1.4e52, 13.0, 228.0, 1.8e52, 14.0, 265.0, 1.5e52
6.000,  9.0, 109.0, 1.1e52, 12.5, 211.0, 1.4e52, 13.5, 246.0, 1.2e52
8.000,  8.5,  98.0, 0.7e52, 12.0, 194.0, 1.0e52, 13.0, 228.0, 0.8e52
10.000, 8.2,  91.0, 0.5e52, 11.5, 179.0, 0.7e52, 12.5, 211.0, 0.6e52
